date,action,stock,shares,price,value,pnl_pct,reason
2020-01-09,SELL,SH601225,156700,0.7289999999999999,114234.29999999997,-12.062726176115957,rebalance
2020-01-09,SELL,SZ002041,9700,12.894,125071.8,-0.15487068297971307,rebalance
2020-01-09,SELL,SH688039,1500,76.02085714285714,114031.28571428571,-7.331352765191235,rebalance
2020-01-09,SELL,SZ002972,6900,18.400000000000006,126960.00000000004,1.617357001972386,rebalance
2020-01-09,SELL,SH688023,1000,126.64769230769232,126647.69230769233,1.173708920187777,rebalance
2020-01-09,SELL,SH600373,5700,13.440000000000001,76608.00000000001,-10.10033444816052,rebalance
2020-01-09,BUY,SZ300390,80100,1.5769230769230775,126475.7434615385,0.0,signal
2020-01-09,BUY,SZ300100,31100,4.057142857142858,126341.17314285715,0.0,signal
2020-01-09,BUY,SH603366,14500,8.687500000000002,126132.50937500001,0.0,signal
2020-01-09,BUY,SZ002703,24200,5.205687800000001,126141.415698188,0.0,signal
2020-01-09,BUY,SH600469,25200,5.000000000000002,126163.80000000003,0.0,signal
2020-01-09,BUY,SZ000559,700,170.28048783,119351.29672492528,0.0,signal
2020-01-10,SELL,SH601666,1282000,0.16800000000000054,215376.0000000007,115.38461538461667,hold_end
2020-01-10,SELL,SZ300100,31100,3.9857142857142853,123955.71428571428,-1.760563380281721,rebalance
2020-01-10,SELL,SH600469,25200,4.810000000000001,121212.00000000003,-3.8000000000000034,rebalance
2020-01-10,SELL,SZ000559,700,158.98225641,111287.579487,-6.635071090047395,rebalance
2020-01-10,BUY,SH601666,661100,0.1880000000000001,124448.37284000005,0.0,signal
2020-01-10,BUY,SH603536,10900,11.394285714285715,124359.1713142857,0.0,signal
2020-01-10,BUY,SZ300087,16400,7.578571428571427,124450.14657142853,0.0,signal
2020-01-10,BUY,SH603185,16200,7.653578482145167,124149.15577358566,0.0,signal
2020-01-10,BUY,SZ300230,23800,4.625,110218.09749999999,0.0,signal
2020-01-13,SELL,SH600546,57900,4.921999999999999,284983.79999999993,162.92735042735035,hold_end
2020-01-13,SELL,SZ300390,80100,2.0000000000000004,160200.00000000003,26.829268292682904,rebalance
2020-01-13,SELL,SH603366,14500,7.557499999999999,109583.74999999999,-13.007194244604348,rebalance
2020-01-13,SELL,SZ002703,24200,5.075687800000001,122831.64476000002,-2.4972684685393487,rebalance
2020-01-13,SELL,SH603536,10900,10.780000000000001,117502.00000000001,-5.391173520561676,rebalance
2020-01-13,SELL,SZ300087,16400,7.988095238095238,131004.76190476191,5.403707194470653,rebalance
2020-01-13,SELL,SH603185,16200,8.105755849857927,131313.2447676984,5.908051622749189,rebalance
2020-01-13,SELL,SZ300230,23800,4.545,108171.0,-1.7297297297297343,rebalance
2020-01-13,BUY,SH600546,29800,4.341999999999999,129559.80907999995,0.0,signal
2020-01-13,BUY,SH600096,168500,0.7700000000000005,129913.66850000006,0.0,signal
2020-01-13,BUY,SZ000700,1700,73.40535688,124951.33253470478,0.0,signal
2020-01-13,BUY,SZ002582,19100,6.764000000000001,129360.35012,0.0,signal
2020-01-13,BUY,SH600327,53800,2.4099999999999997,129826.55539999997,0.0,signal
2020-01-13,BUY,SH601010,42900,3.0239700000000003,129896.95980689999,0.0,signal
2020-01-13,BUY,SZ002605,4500,28.44826,128183.59232099997,0.0,signal
2020-01-13,BUY,SZ002056,17800,7.279225500000002,129738.65517807001,0.0,signal
2020-01-13,BUY,SZ002623,3800,33.72,128302.57679999998,0.0,signal
2020-01-14,SELL,SH600096,168500,0.8299999999999998,139854.99999999997,7.792207792207706,rebalance
2020-01-14,SELL,SZ000700,1700,73.05801292,124198.62196399999,-0.4731861198738252,rebalance
2020-01-14,SELL,SZ002582,19100,6.254000000000001,119451.40000000002,-7.539917208752211,rebalance
2020-01-14,SELL,SH601010,42900,2.8939700000000004,124151.31300000001,-4.298984447597032,rebalance
2020-01-14,SELL,SZ002056,17800,8.2292255,146480.2139,13.05083899379127,rebalance
2020-01-14,SELL,SZ002623,3800,34.01,129237.99999999999,0.8600237247924136,rebalance
2020-01-14,BUY,SZ300390,72200,1.9615384615384621,141807.18692307695,0.0,signal
2020-01-14,BUY,SZ002277,32600,4.344,141798.49872,0.0,signal
2020-01-14,BUY,SH688012,1000,131.89,132061.457,0.0,signal
2020-01-14,BUY,SZ300811,9500,14.833333333333334,141099.85833333334,0.0,signal
2020-01-14,BUY,SZ002641,21200,6.673000000000002,141651.50788000002,0.0,signal
2020-01-15,SELL,SZ002277,32600,3.9939999999999998,130204.4,-8.057090239410691,rebalance
2020-01-15,SELL,SH688012,1000,147.0,147000.0,11.456516794298288,rebalance
2020-01-15,BUY,SZ300066,28100,5.04,141808.11119999998,0.0,signal
2020-01-15,BUY,SH603138,6900,20.37066666666667,140740.32488,0.0,signal
2020-01-16,SELL,SH600327,53800,3.37,181306.0,39.834024896265575,rebalance
2020-01-16,SELL,SZ002605,4500,31.728260000000006,142777.17,11.529703398380086,rebalance
2020-01-16,SELL,SZ300390,72200,1.8230769230769228,131626.15384615381,-7.058823529411806,rebalance
2020-01-16,SELL,SZ002641,21200,5.913000000000001,125355.60000000002,-11.38918027873521,rebalance
2020-01-16,SELL,SZ300066,28100,4.93,138533.0,-2.182539682539686,rebalance
2020-01-16,SELL,SH603138,6900,22.487333333333336,155162.6,10.390757952611596,rebalance
2020-01-16,BUY,SZ002432,7131900,0.020000000000000018,142823.4294000001,0.0,signal
2020-01-16,BUY,SH603776,8300,17.0005,141287.58539499997,0.0,signal
2020-01-16,BUY,SH603888,1600,86.79287552,139049.13001308157,0.0,signal
2020-01-16,BUY,SZ300812,7300,19.35238095238095,141456.03504761902,0.0,signal
2020-01-16,BUY,SZ000626,14400,9.85,142024.392,0.0,signal
2020-01-17,SELL,SH600546,29800,5.0219999999999985,149655.59999999995,15.66098572086596,rebalance
2020-01-17,SELL,SH603776,8300,16.45883333333333,136608.31666666665,-3.186180798603966,rebalance
2020-01-17,SELL,SH603888,1600,86.94935306,139118.96489600002,0.18028846153848033,rebalance
2020-01-17,SELL,SZ000626,14400,9.81,141264.0,-0.4060913705583702,rebalance
2020-01-17,BUY,SH600327,39300,3.1900000000000004,125529.9771,0.0,signal
2020-01-17,BUY,SH688012,700,167.87,117661.76169999999,0.0,signal
2020-01-17,BUY,SZ300813,7900,15.81903846153846,125132.8653711538,0.0,signal
2020-01-17,BUY,SH688268,1700,73.5,125112.43499999998,0.0,signal
2020-01-17,BUY,SH600096,157000,0.7999999999999998,125763.27999999996,0.0,signal
2020-01-20,SELL,SH601666,661100,0.20800000000000057,137508.80000000037,10.638297872340674,hold_end
2020-01-20,SELL,SZ300811,9500,13.675925925925926,129921.29629629629,-7.802746566791519,rebalance
2020-01-20,SELL,SZ002432,7131900,0.04000000000000048,285276.00000000343,100.00000000000222,rebalance
2020-01-20,SELL,SZ300813,7900,17.511346153846144,138339.63461538454,10.697917553094438,rebalance
2020-01-20,SELL,SH688268,1700,75.38,128145.99999999999,2.5578231292517017,rebalance
2020-01-20,SELL,SH600096,157000,0.7000000000000002,109900.00000000003,-12.499999999999956,rebalance
2020-01-20,BUY,SH688088,1900,82.015,156031.07704999996,0.0,signal
2020-01-20,BUY,SH601666,696000,0.22800000000000015,158894.2944000001,0.0,signal
2020-01-20,BUY,SH688099,1800,85.08009,153343.2494106,0.0,signal
2020-01-20,BUY,SH688002,3100,49.657260000000015,154137.62475780002,0.0,signal
2020-01-20,BUY,SZ002837,2000,76.0609824,152319.72335423998,0.0,signal
2020-01-20,BUY,SZ000700,1600,98.9930286,158594.75125948797,0.0,signal
2020-01-21,SELL,SH688012,700,170.55,119385.00000000001,1.5964734616072063,rebalance
2020-01-21,SELL,SH688088,1900,77.175,146632.5,-5.901359507407189,rebalance
2020-01-21,SELL,SH688099,1800,75.99009,136782.16199999998,-10.684050757351105,rebalance
2020-01-21,SELL,SH688002,3100,51.99726000000001,161191.50600000002,4.712301886974823,rebalance
2020-01-21,BUY,SH688399,5300,28.523557341124913,151371.38121804237,0.0,signal
2020-01-21,BUY,SH600400,44700,3.4050000000000007,152401.36455,0.0,signal
2020-01-21,BUY,SH688368,2700,56.3265306122449,152279.3387755102,0.0,signal
2020-01-21,BUY,SH688278,3600,41.96200000000001,151259.58216000002,0.0,signal
2020-01-22,SELL,SH601666,696000,0.1979999999999999,137807.99999999994,-13.157894736842202,rebalance
2020-01-22,SELL,SZ002837,2000,69.63082698,139261.65396,-8.453947368421055,rebalance
2020-01-22,SELL,SH688368,2700,55.81632653061226,150704.0816326531,-0.9057971014492572,rebalance
2020-01-22,BUY,SZ002973,8700,17.865999999999993,155636.2644599999,0.0,signal
2020-01-22,BUY,SH600546,32100,4.861999999999998,156273.09125999993,0.0,signal
2020-01-22,BUY,SH600750,34700,4.496466666666666,156230.22894466663,0.0,signal
2020-01-22,BUY,SZ002007,100,870.14380432,87127.49912656158,0.0,signal
2020-01-23,SELL,SZ300812,7300,29.963492063492065,218733.49206349207,54.831036745406834,hold_end
2020-01-23,SELL,SH688399,5300,33.95178962746531,179944.48502556613,19.030698805979718,rebalance
2020-01-23,SELL,SH600400,44700,3.275000000000001,146392.50000000003,-3.8179148311306865,rebalance
2020-01-23,SELL,SH688278,3600,40.12200000000001,144439.2,-4.3849196892426505,rebalance
2020-01-23,SELL,SZ002973,8700,16.665999999999993,144994.19999999995,-6.716668532407921,rebalance
2020-01-23,SELL,SH600750,34700,3.813133333333334,132315.72666666668,-15.197117736889677,rebalance
2020-01-23,SELL,SZ002007,100,836.98000794,83698.00079399999,-3.8113006396588545,rebalance
2020-01-23,BUY,SH601666,959700,0.15799999999999986,151829.72237999985,0.0,signal
2020-01-23,BUY,SH601225,543500,0.27900000000000014,151833.62745000006,0.0,signal
2020-01-23,BUY,SZ002432,1083100,0.14000000000000012,151831.12420000014,0.0,signal
2020-01-23,BUY,SZ002971,8400,17.880769230769225,150393.71953846148,0.0,signal
2020-01-23,BUY,SZ300812,5300,28.574603174603176,151642.27584126982,0.0,signal
2020-01-23,BUY,SH600319,25100,6.04,151801.08519999997,0.0,signal
2020-01-23,BUY,SH688037,2800,53.29249021435228,149412.95726456662,0.0,signal
2020-01-23,BUY,SZ300813,400,23.66999999999999,9480.308399999994,0.0,signal
2020-02-03,SELL,SZ002971,8400,20.1576923076923,169324.61538461532,12.733921273392124,rebalance
2020-02-03,SELL,SH600319,25100,5.43,136293.0,-10.099337748344372,rebalance
2020-02-03,SELL,SH688037,2800,54.45744827586207,152480.8551724138,2.1859704000021685,rebalance
2020-02-03,BUY,SH688399,5300,34.91051862673484,185266.28219503284,0.0,signal
2020-02-03,BUY,SH688068,3900,47.23243243243243,184445.9549189189,0.0,signal
2020-02-04,SELL,SH600327,39300,2.3299999999999996,91568.99999999999,-26.95924764890284,hold_end
2020-02-04,SELL,SZ000700,1600,140.90586644,225449.386304,42.33918128654972,hold_end
2020-02-04,SELL,SH600546,32100,3.251999999999999,104389.19999999997,-33.113944878650756,rebalance
2020-02-04,SELL,SZ300812,5300,25.64206349206349,135902.93650793648,-10.262748583490744,rebalance
2020-02-04,SELL,SZ300813,400,28.871923076923068,11548.769230769227,21.976861330473497,rebalance
2020-02-04,SELL,SH688068,3900,52.98918918918918,206657.8378378378,12.188143739986245,rebalance
2020-02-04,BUY,SH688026,3400,69.55231714285715,236785.2995274857,0.0,signal
2020-02-04,BUY,SZ300390,115100,2.1,242024.22299999997,0.0,signal
2020-02-04,BUY,SH600817,32600,7.41,241880.03579999995,0.0,signal
2020-02-04,BUY,SH688278,3200,42.97200000000001,137689.16352,0.0,signal
2020-02-05,SELL,SH688399,5300,42.4890430971512,225191.92841490137,21.708427054454148,rebalance
2020-02-05,SELL,SH600817,32600,7.39,240914.0,-0.26990553306343035,rebalance
2020-02-05,SELL,SH688278,3200,47.19200000000001,151014.40000000002,9.820348133668432,rebalance
2020-02-05,BUY,SH601126,493000,0.5369999999999999,265085.1632999999,0.0,signal
2020-02-05,BUY,SH600621,100,2489.10368997,249233.95247669605,0.0,signal
2020-02-05,BUY,SH688159,1500,69.92998999999999,105031.34848049998,0.0,signal
2020-02-06,SELL,SH688026,3400,70.38803142857144,239319.3068571429,1.2015621046783664,rebalance
2020-02-06,SELL,SZ300390,115100,3.246153846153845,373632.3076923075,54.57875457875452,rebalance
2020-02-06,SELL,SH601126,493000,0.7670000000000003,378131.0000000002,42.83054003724403,rebalance
2020-02-06,SELL,SH600621,100,2578.22230668,257822.23066800003,3.5803497085762137,rebalance
2020-02-06,SELL,SH688159,1500,67.16998999999998,100754.98499999997,-3.946804511197566,rebalance
2020-02-06,BUY,SZ000933,1954900,0.16000000000000036,313190.61920000066,0.0,signal
2020-02-06,BUY,SH688298,4900,63.45833333333334,311350.0629166667,0.0,signal
2020-02-06,BUY,SH603901,34500,9.054,312769.0719,0.0,signal
2020-02-06,BUY,SH688389,12600,24.692,311523.65495999996,0.0,signal
2020-02-06,BUY,SZ300473,3200,31.069999999999997,99553.25119999997,0.0,signal
2020-02-07,SELL,SH688298,4900,72.98809523809524,357641.6666666667,15.017352968764651,rebalance
2020-02-07,SELL,SH603901,34500,8.783999999999999,303047.99999999994,-2.982107355864827,rebalance
2020-02-07,SELL,SH688389,12600,25.802,325105.2,4.495383120038876,rebalance
2020-02-07,SELL,SZ300473,3200,29.299999999999997,93759.99999999999,-5.696813646604437,rebalance
2020-02-07,BUY,SZ002007,300,999.78409926,300325.14557671134,0.0,signal
2020-02-07,BUY,SZ002635,10200,29.350000000000005,299759.18100000004,0.0,signal
2020-02-07,BUY,SZ300390,92900,3.238461538461537,301244.18592307676,0.0,signal
2020-02-07,BUY,SZ002126,18700,9.430000000000001,176570.2433,0.0,signal
2020-02-10,SELL,SZ000933,1954900,0.37000000000000033,723313.0000000007,131.2499999999997,rebalance
2020-02-10,SELL,SZ002007,300,978.44795054,293534.38516199996,-2.134075620505682,rebalance
2020-02-10,SELL,SZ002635,10200,28.120000000000005,286824.00000000006,-4.190800681431006,rebalance
2020-02-10,SELL,SZ300390,92900,3.0000000000000004,278700.00000000006,-7.363420427553391,rebalance
2020-02-10,SELL,SZ002126,18700,11.13,208131.00000000003,18.027571580063608,rebalance
2020-02-10,BUY,SZ300637,22500,13.560000000000002,305496.63,0.0,signal
2020-02-10,BUY,SH601699,38242700,0.008000000000000451,306339.3240800172,0.0,signal
2020-02-10,BUY,SZ300359,35100,8.7,305766.98099999997,0.0,signal
2020-02-10,BUY,SH600664,51900,5.89,306088.39829999994,0.0,signal
2020-02-10,BUY,SH600866,42100,7.26,306043.33979999996,0.0,signal
2020-02-10,BUY,SH603456,14200,18.01,256074.4646,0.0,signal
2020-02-11,SELL,SZ300637,22500,11.96,269100.0,-11.799410029498535,rebalance
2020-02-11,SELL,SZ300359,35100,7.42,260442.0,-14.712643678160909,rebalance
2020-02-11,SELL,SH600664,51900,4.91,254829.0,-16.63837011884549,rebalance
2020-02-11,BUY,SZ002838,40300,19.340999999999998,780455.5749899998,0.0,signal
2020-02-12,SELL,SZ002432,1083100,0.8599999999999999,931465.9999999999,514.2857142857137,hold_end
2020-02-12,SELL,SH600866,42100,5.140000000000001,216394.00000000003,-29.20110192837465,rebalance
