factor_id,IC_5d,IC_t_5d,IC_pos_5d,n_days
1adcc39c1ecb48e8b734cf649359c4ee,0.07432916104815909,36.643696657358866,0.9910614525139665,895
447dfe02f1de4f45bc8e96def23332de,0.07432916104815909,36.643696657358866,0.9910614525139665,895
6b00b809c460444c8eeecd2617e9ddd6,0.07432916104815909,36.643696657358866,0.9910614525139665,895
f834f42beedd44bfa9238a8501b21b5c,-0.07432915811582712,-36.643699900176564,0.008938547486033519,895
53b1109ce9584b579591575e5d13d888,0.074329152812673,36.64369360035975,0.9910614525139665,895
5f8fbab66d5c416ebfcc0d5c32f6c2d4,-0.074329152812673,-36.64369360035975,0.008938547486033519,895
2e9abc0af7ed438cb978794e88267ad6,0.074329152812673,36.64369360035975,0.9910614525139665,895
a3b5977dc56c4517b41648b3dc04681a,0.074329152812673,36.64369360035975,0.9910614525139665,895
b7c132a1ced24f43b0778767b5ae02a3,0.074329152812673,36.64369360035975,0.9910614525139665,895
853edb6d4a1749f2a9459f8533fdde1e,0.06573699903352373,33.69303093489904,0.9653631284916201,895
25c74dda7c044b28a62fda0d9d6b4602,0.05893521307788715,19.31001942222943,0.7832402234636872,895
e380dae07ef8479f8523be67cdda0743,0.05667782072216139,29.031056176860222,0.9251396648044693,895
02d7dce95b7f410aa3ba2f8c2ab29b57,0.05213857671543521,27.83635898965984,0.9150837988826815,895
3006ddb42efe4dc0b3e4470cf26e7155,0.04820818040216201,29.551053206874005,0.8983240223463688,895
a72901b6f2aa4ec5a08974b9481bb413,0.034605822750687125,17.749548107911266,0.7899441340782123,895
705b5216b6864e8ab2b746740395b1a6,0.034605812079287965,17.749540421507966,0.7899441340782123,895
a4d2e70eb49c47df94aa137c08192934,0.030070846301737886,24.735151277886516,0.8458100558659218,895
e4b2e2b1d6854bd4b43f4cd5724f1af5,0.030070846301737886,24.735151277886516,0.8458100558659218,895
0d44eee04fdc468b9b0d2ebe0195f8ad,0.030070846301737886,24.735151277886516,0.8458100558659218,895
900e703acef0494f8d606fb13fce2238,0.0300706075500157,24.734892542616624,0.8458100558659218,895
50ec874f16d8486ea5915f8f2d7f623c,0.0300706075500157,24.734892542616624,0.8458100558659218,895
3e4aa8771f2340e5a1602649bb7c07bb,0.029730532373650368,16.413943609153577,0.7508379888268156,895
34654515ea7144b3ac81ae4f63eefae2,0.029250558874768268,15.070492573812775,0.7430167597765364,895
4e82eddd4e1d4c749b113398e7ff6950,0.029250558874768268,15.070492573812775,0.7430167597765364,895
0fd8bca4102e45aebdb18af52d648d0e,0.029250558874768268,15.070492573812775,0.7430167597765364,895
c4c9a09527b4468991d468ef26b752e9,0.029250558874768268,15.070492573812775,0.7430167597765364,895
56118a82eff94b7580ab02bd7c68142f,0.029250558874768268,15.070492573812775,0.7430167597765364,895
322e68ab51274a14afcdc12ed657e7b2,0.029250558874768268,15.070492573812775,0.7430167597765364,895
5315a043edb24782a88423bda5f67946,0.02729212917047663,14.956068663176064,0.7463687150837989,895
3f7b8bcf19d648029f385432c784e5dd,0.026220207020993105,21.71765711021755,0.8022346368715084,895
54dec2334bec4988a5b89200917dcac3,0.02616821901102546,16.962086853478983,0.7474860335195531,895
cfc3c96a76d14f749002c49b9344fcdc,0.02072732397882985,17.46381559507103,0.7486033519553073,895
b8e06aae49f84b30956ea750ee2df222,0.02072732397882985,17.46381559507103,0.7486033519553073,895
dae1aa548ce44d22989bd3fd1151e7d0,0.016639284266598064,14.310200792658858,0.71731843575419,895
58adafb70db24bbcb599f19dde1c7316,0.016639284266598064,14.310200792658858,0.71731843575419,895
d789d95d712e4e64b5f9190f234b0bd1,0.009468442241978665,16.57966739708369,0.7284916201117319,895
4414a9e452e44991b2434a0cb59e745e,0.005496602308945129,2.1932437193830108,0.5541899441340782,895
1e3c8739f45b4179bf192e0b7918bfb8,0.005496602308945129,2.1932437193830108,0.5541899441340782,895
3d8b904927e248158b3ef3bf52ae0d43,0.005496602308945129,2.1932437193830108,0.5541899441340782,895
4e839e97c7b74a10a025fd048ea13d84,0.005496602308945129,2.1932437193830108,0.5541899441340782,895
5c64640e427045c3983fd3d23de776da,0.005496602308945129,2.1932437193830108,0.5541899441340782,895
60998d75688c43f797781fde92ac4506,0.005496602308945129,2.1932437193830108,0.5541899441340782,895
04d1651ebc7043c9bd047ca828cc479e,0.004840859932246956,4.572421197495669,0.5675977653631284,895
29adb6eee8e740979cff12363fb47acc,0.00480394137149249,1.9112601780747587,0.5508379888268157,895
5fc8c926be404bb08cf57b2a6dd10ab0,-0.0018689148174189402,-0.628010686415069,0.5039106145251396,895
7072985109f24e2cb928bee2e1b48954,0.0016300926148470848,3.210704329048426,0.5497206703910614,895
59ea2fae700c41bfb82d9a90cbee008a,-0.00132563228086946,-2.9568511167483416,0.4659217877094972,895
4b1ad47505f449d0a645977c75cdb9fe,0.0012666567277456974,2.731601957586054,0.5229050279329609,895
3116460b5718456cad373fc4bf2f1a9a,0.0010604642769949013,0.3672556328843554,0.488268156424581,895
36db7f0e80c6467ba4999782236f1065,0.0008848629472941472,1.7060361546029141,0.5206703910614525,895
b01b40ad1350475d921dd819d27add61,-0.000826737300373333,-1.8616783209000947,0.4793296089385475,895
c02e96ccd2644d36b7a1812b3b933541,0.0005998474135396016,1.1899040352107888,0.4949720670391061,895
10fc7c3a981a4cb1a4797c14c5ebf436,0.00038361928601347736,0.2857256428214439,0.4983240223463687,895
e600eb4e2b9a45ad85a677a3c0739670,0.00038361928601347736,0.2857256428214439,0.4983240223463687,895
95f3d8929cd44c03bcd7fb108b945339,0.00021051531954855522,0.4991745067384213,0.48156424581005586,895
889763ef5b55432686a1a2fb5d014d9a,-6.134320660443671e-06,-0.010761092057065286,0.5229050279329609,895
