rank,instrument,composite_score,momentum_5d,reversal_5d,momentum_10d,momentum_20d,volatility_20d,score_momentum_5d,score_reversal_5d,score_momentum_10d,score_momentum_20d,score_volatility_20d
1,SZ000711,6.97046179086024,0.20808538320037878,-0.20808538320037878,-0.892148152185458,-1.0218019223911425,36.7662590288778,0.04161707664007576,-0.04161707664007576,-0.1784296304370916,-0.20436038447822852,7.35325180577556
2,SZ002586,5.6649969460073715,-0.17024052512738125,0.17024052512738125,-0.47907530918890123,-0.5697928388202982,29.373852878046055,-0.03404810502547625,0.03404810502547625,-0.09581506183778025,-0.11395856776405965,5.874770575609212
3,SZ002274,3.1247650680011225,-0.4261378548333832,0.4261378548333832,-0.9012841216284325,0.15685748137791652,16.368251980256126,-0.08522757096667664,0.08522757096667664,-0.18025682432568652,0.031371496275583305,3.2736503960512255
4,SZ000635,2.5752606580010378,0.17667313257244238,-0.17667313257244238,-0.24578745141807726,1.1173073386967045,12.004783402726561,0.03533462651448848,-0.03533462651448848,-0.049157490283615456,0.22346146773934092,2.4009566805453124
5,SZ000993,2.4624259601890053,5.1275151343479255,-5.1275151343479255,6.128157674227361,5.798796221151874,0.38517590556579046,1.025503026869585,-1.025503026869585,1.2256315348454723,1.1597592442303748,0.0770351811131581
6,SZ300010,2.123838334451271,-0.23505098016167822,0.23505098016167822,2.096481884918737,7.304063974784174,1.2186458125534434,-0.047010196032335645,0.047010196032335645,0.41929637698374744,1.4608127949568348,0.24372916251068868
7,SZ002815,1.9989977118620168,2.690465442032437,-2.690465442032437,4.8022033238866975,4.953411973556558,0.23937326186682734,0.5380930884064874,-0.5380930884064874,0.9604406647773396,0.9906823947113117,0.04787465237336547
8,SZ000823,1.9537686827385063,3.8508856105889193,-3.8508856105889193,4.885330586831084,4.480897796535486,0.4026150303259612,0.7701771221177839,-0.7701771221177839,0.9770661173662168,0.8961795593070973,0.08052300606519225
9,SH605058,1.8683272475533343,4.228623230700656,-4.228623230700656,4.706188505325722,4.362489842748127,0.2729578896928234,0.8457246461401312,-0.8457246461401312,0.9412377010651444,0.8724979685496255,0.05459157793856469
10,SH601086,1.840271490574569,0.2108959137045184,-0.2108959137045184,2.5763083643229625,5.739769308526336,0.8852797800235466,0.04217918274090368,-0.04217918274090368,0.5152616728645926,1.1479538617052671,0.17705595600470933
11,SZ002743,1.7665801737665798,1.3346800213099257,-1.3346800213099257,0.30358902490983664,1.7148272679526768,6.8144845759703845,0.26693600426198516,-0.26693600426198516,0.06071780498196733,0.3429654535905354,1.362896915194077
12,SZ301251,1.7333077986634287,3.758943886465782,-3.758943886465782,3.798441063212043,4.1732819548923565,0.6948159752127432,0.7517887772931564,-0.7517887772931564,0.7596882126424087,0.8346563909784713,0.13896319504254864
13,SZ002856,1.6869363792738787,1.5745996212580113,-1.5745996212580113,2.8669127793377522,4.852862587217062,0.7149065298145793,0.3149199242516023,-0.3149199242516023,0.5733825558675505,0.9705725174434123,0.14298130596291586
14,SZ300741,1.671259128106974,1.6896946522768597,-1.6896946522768597,3.7675692894738986,4.573350307870385,0.015376043190585885,0.33793893045537193,-0.33793893045537193,0.7535138578947798,0.914670061574077,0.003075208638117177
15,SH688004,1.656246383925491,4.931064337824198,-4.931064337824198,3.7462825813209553,3.2844775386460667,1.2504717996604329,0.9862128675648396,-0.9862128675648396,0.7492565162641911,0.6568955077292133,0.25009435993208656
16,SH688209,1.508724904826949,1.1298244926569454,-1.1298244926569454,2.035251945171116,4.83424855432967,0.6741240246339595,0.2259648985313891,-0.2259648985313891,0.40705038903422325,0.966849710865934,0.1348248049267919
17,SZ300852,1.4932155947390038,1.5707520382127929,-1.5707520382127929,3.995133271544346,3.0798044233866366,0.3911402787640363,0.3141504076425586,-0.3141504076425586,0.7990266543088693,0.6159608846773273,0.07822805575280727
18,SH688655,1.4513262117914179,0.9070223505821936,-0.9070223505821936,3.5285584943621084,2.8377266165815707,0.8903459480134104,0.18140447011643873,-0.18140447011643873,0.7057116988724217,0.5675453233163141,0.1780691896026821
19,SH601579,1.364654439659487,1.3046706994999828,-1.3046706994999828,2.8881205815114472,3.3893019513054905,0.5458496654804968,0.2609341398999966,-0.2609341398999966,0.5776241163022895,0.6778603902610981,0.10916993309609938
